;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S2;Resting open;1;0.154788697;0.149912478;0.142910728;0.166666667;0.17791948;0.138784696;0.145286322;1;0.939984996;0.606151538;0.597524381;0.495873968;0.71767942;0.42448112;1;0.615028757;0.595773943;0.492123031;0.719429857;0.423855964;1;0.448237059;0.379969992;0.574018505;0.333833458;1;0.728182046;0.592648162;0.562265566;1;0.483995999;0.565016254;1;0.466116529;1;28.5714;17.4632;13.4643;15.7913
0;S3;Resting open;1;0.158539635;0.131032758;0.140660165;0.148287072;0.14016004;0.114028507;0.132283071;1;0.494498625;0.414103526;0.549762441;0.32508127;0.398349587;0.466741685;1;0.461990498;0.364591148;0.234933733;0.382345586;0.319454864;1;0.295073768;0.211427857;0.323205801;0.268942236;1;0.40260065;0.331082771;0.550887722;1;0.221930483;0.369592398;1;0.355588897;1;3.45479;1.59536;2.90515;0.378006
0;S5;Resting open;1;0.133283321;0.134658665;0.146661665;0.131282821;0.138034509;0.124156039;0.122405601;1;0.451612903;0.295823956;0.454113528;0.340460115;0.412353088;0.355588897;1;0.478369592;0.279069767;0.264566142;0.452113028;0.241935484;1;0.205676419;0.197674419;0.383345836;0.179169792;1;0.430607652;0.287946987;0.397724431;1;0.232933233;0.331957989;1;0.287446862;1;-2.01479;-1.09114;-1.07825;-1.07008
0;S7;Resting open;1;0.12128032;0.107276819;0.109402351;0.126406602;0.129282321;0.101650413;0.102650663;1;0.530382596;0.507376844;0.562265566;0.392223056;0.487621905;0.43635909;1;0.584396099;0.388347087;0.284446112;0.473868467;0.351962991;1;0.373593398;0.26744186;0.483370843;0.32208052;1;0.53475869;0.395348837;0.486371593;1;0.300700175;0.441110278;1;0.414353588;1;12.4554;6.53167;5.94344;5.50288
0;S10;Resting open;1;0.11227807;0.116154039;0.111777944;0.106151538;0.111902976;0.103525881;0.103525881;1;0.679169792;0.500500125;0.604776194;0.410602651;0.500625156;0.571517879;1;0.709302326;0.426981745;0.306826707;0.593648412;0.413978495;1;0.32308077;0.243935984;0.518504626;0.309327332;1;0.623655914;0.34596149;0.734433608;1;0.255813953;0.554263566;1;0.352963241;1;15.0115;9.80228;10.5371;9.34312
0;S14;Resting open;1;0.140035009;0.13815954;0.109277319;0.140285071;0.143785946;0.111652913;0.119779945;1;0.372843211;0.213303326;0.394348587;0.293698425;0.329582396;0.331207802;1;0.363590898;0.302325581;0.226931733;0.409102276;0.258189547;1;0.181670418;0.159664916;0.247186797;0.159664916;1;0.380095024;0.285696424;0.38472118;1;0.211927982;0.33395849;1;0.3012003;1;-6.76414;-4.22488;-3.0719;-4.5258
0;S15;Resting open;1;0.113403351;0.11227807;0.109652413;0.125031258;0.136909227;0.0923981;0.089522381;1;0.633908477;0.479994999;0.604026007;0.347711928;0.502875719;0.389472368;1;0.605526382;0.408852213;0.261190298;0.473368342;0.278944736;1;0.322580645;0.219804951;0.456114029;0.245436359;1;0.539384846;0.370717679;0.469867467;1;0.238434609;0.372843211;1;0.389222306;1;8.17616;5.41769;3.69627;4.29366
0;S16;Resting open;1;0.105526382;0.102650663;0.102650663;0.120780195;0.13215804;0.094273568;0.105151288;1;0.527506877;0.43835959;0.482995749;0.307326832;0.391972993;0.322580645;1;0.504876219;0.394723681;0.258564641;0.41247812;0.283195799;1;0.355463866;0.247686922;0.363965991;0.247436859;1;0.445611403;0.339709927;0.389847462;1;0.23355839;0.309702426;1;0.297824456;1;3.36726;1.25028;-0.0100312;0.0552683
0;S18;Resting open;1;0.169792448;0.159164791;0.145911478;0.172543136;0.179044761;0.122405601;0.12528132;1;0.649037259;0.474493623;0.552263066;0.385221305;0.43835959;0.343710928;1;0.61227807;0.450612653;0.317454364;0.489997499;0.290447612;1;0.34296074;0.25843961;0.453113278;0.218429607;1;0.545886472;0.325581395;0.395973993;1;0.254938735;0.404226057;1;0.310327582;1;8.12964;5.3849;2.62485;3.62706
0;S19;Resting open;1;0.125531383;0.124156039;0.118029507;0.123780945;0.116904226;0.097649412;0.089147287;1;0.612653163;0.280695174;0.635408852;0.273693423;0.379094774;0.362715679;1;0.396724181;0.412103026;0.205426357;0.467366842;0.258689672;1;0.213803451;0.136909227;0.299449862;0.150037509;1;0.394848712;0.270942736;0.437859465;1;0.153288322;0.276444111;1;0.227431858;1;-4.86036;-1.25479;-1.26109;-2.17942
