;0;1
S2;7.3272355605304265;0.845965313034193
S3;7.051854643284966;0.7915988231414953
S5;7.044235476088257;0.7942807375242676
S6;9.12166991620076;0.9917993071645407
S7;0.7318671160512217;1.0
S10;6.7857130253657285;1.0
S11;3.604678326525782;1.0
S13;1.2356149792903601;1.0
S14;5.89809797702778;0.7936771174319276
S15;6.515283903411315;0.9643973618336141
S16;7.323924975734235;1.0
S18;6.173094958100373;0.7558198169264986
S19;6.3168571065598496;0.9983091213769352
S20;7.766481298897187;1.0
S21;4.145784682666271;1.0
S22;7.7670797216199015;0.7662756343142105
S24;6.528195771728346;0.9843775983961515
