;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4
0;S1;Resting Open;1.0;0.16252342286071206;0.14503435352904434;0.15065584009993754;0.15365396627108058;0.19163023110555902;0.1452841973766396;0.15952529668956902;1.0;0.49419113054341035;0.3636477201748907;0.3907557776389756;0.4047470331043098;0.47657713928794504;0.4797001873828857;1.0;0.5229231730168644;0.31168019987507806;0.3153029356652092;0.5506558400999375;0.3806371018113679;1.0;0.24234853216739538;0.2587133041848845;0.44184884447220485;0.2824484697064335;1.0;0.4203622735790131;0.32329793878825736;0.4748282323547783;1.0;0.32417239225484074;0.536789506558401;1.0;0.4589631480324797;1.0
0;S2;Resting Open;1.0;0.12804497189256714;0.12529668956901938;0.11530293566520924;0.14828232354778265;0.15302935665209244;0.12529668956901938;0.12604622111180513;1.0;0.9370393504059963;0.5763897564022485;0.5657713928794503;0.4397251717676452;0.6986883198001249;0.4141161773891318;1.0;0.5907557776389757;0.5572767020612117;0.4339787632729544;0.700312304809494;0.40737039350405996;1.0;0.38975640224859465;0.313054341036852;0.5380387257963772;0.29456589631480323;1.0;0.719050593379138;0.5676452217364147;0.591630231105559;1.0;0.44447220487195505;0.5756402248594629;1.0;0.462211118051218;1.0
0;S3;Resting Open;1.0;0.15327920049968768;0.13379138038725796;0.13054341036851969;0.15065584009993754;0.14128669581511555;0.11992504684572143;0.1437851342910681;1.0;0.4728294815740162;0.37051842598376017;0.5266708307307932;0.3164272329793879;0.39550281074328547;0.4391005621486571;1.0;0.40124921923797624;0.3470331043098064;0.22361024359775142;0.3656464709556527;0.31555277951280447;1.0;0.2789506558400999;0.19400374765771392;0.3267957526545909;0.2570893191755153;1.0;0.3725171767645222;0.3222985633978763;0.5015615240474703;1.0;0.21249219237976266;0.33004372267332915;1.0;0.3510306058713304;1.0
0;S7;Resting Open;1.0;0.1386633354153654;0.11855090568394754;0.1165521549031855;0.1391630231105559;0.13878825733916303;0.10156152404747033;0.12242348532167395;1.0;0.5765146783260462;0.5255465334166146;0.5612742036227358;0.4076202373516552;0.4584634603372892;0.48319800124921924;1.0;0.6357276702061212;0.4477201748906933;0.3080574640849469;0.48607120549656463;0.417738913179263;1.0;0.4018738288569644;0.2816989381636477;0.49406620861961276;0.3787632729544035;1.0;0.5721424109931293;0.390630855715178;0.5429106808244847;1.0;0.306683322923173;0.4896939412866958;1.0;0.4410993129294191;1.0
0;S10;Resting Open;1.0;0.10243597751405371;0.10468457214241099;0.10131168019987508;0.10343535290443473;0.10655840099937539;0.0995627732667083;0.10118675827607745;1.0;0.6509681449094316;0.46945658963148035;0.5770143660212367;0.39637726420986885;0.5412866958151156;0.5559025608994379;1.0;0.6890693316677077;0.39487820112429733;0.2873204247345409;0.7045596502186133;0.39400374765771395;1.0;0.29594003747657716;0.2273579013116802;0.6081199250468458;0.29406620861961275;1.0;0.6003747657713929;0.34415990006246094;0.7098063710181137;1.0;0.2537164272329794;0.524422236102436;1.0;0.3566520924422236;1.0
0;S13;Resting Open;1.0;0.15815115552779513;0.15527795128044972;0.14653341661461586;0.15740162398500937;0.15302935665209244;0.13666458463460338;0.1541536539662711;1.0;0.5446595877576514;0.41011867582760775;0.5351655215490319;0.3524047470331043;0.4079950031230481;0.46920674578388505;1.0;0.6023735165521549;0.3962523422860712;0.2689569019362898;0.48269831355402876;0.36864459712679576;1.0;0.3198001249219238;0.22398500936914428;0.4377264209868832;0.295315427857589;1.0;0.5139287945034353;0.3495315427857589;0.6348532167395378;1.0;0.26708307307932544;0.5154278575890069;1.0;0.39612742036227355;1.0
0;S14;Resting Open;1.0;0.12279825109306683;0.11467832604622111;0.09618988132417239;0.12592129918800749;0.13454091193004372;0.11118051217988757;0.11330418488444723;1.0;0.378263585259213;0.22898188632104935;0.4178638351030606;0.325421611492817;0.3055590256089944;0.3838850718301062;1.0;0.3700187382885696;0.306683322923173;0.25584009993753903;0.3798875702685821;0.2876951905059338;1.0;0.18925671455340412;0.16727045596502185;0.2428482198625859;0.17526545908806995;1.0;0.4532167395377889;0.25783885071830104;0.4051217988757027;1.0;0.22011242973141787;0.3457838850718301;1.0;0.2965646470955653;1.0
0;S18;Resting Open;1.0;0.15977514053716427;0.15490318550905685;0.14266083697688944;0.17164272329793878;0.16614615865084323;0.12754528419737665;0.12692067457838851;1.0;0.6545908806995627;0.45121798875702684;0.5572767020612117;0.37064334790755776;0.4770768269831355;0.34915677701436604;1.0;0.6066208619612742;0.45159275452841974;0.30968144909431605;0.5227982510930669;0.29643972517176764;1.0;0.3320424734540912;0.23372891942535914;0.44409743910056215;0.22186133666458463;1.0;0.5460337289194254;0.3541536539662711;0.42798251093066836;1.0;0.2535915053091818;0.4423485321673954;1.0;0.3198001249219238;1.0
0;S21;Resting Open;1.0;0.12004996876951905;0.11205496564647095;0.11717676452217364;0.12704559650218614;0.1301686445971268;0.09519050593379139;0.11068082448469707;1.0;0.4428482198625859;0.44372267332916926;0.5091817613991255;0.3240474703310431;0.38700811992504686;0.3637726420986883;1.0;0.4443472829481574;0.33903810118675826;0.2282323547782636;0.32604622111180515;0.26670830730793255;1.0;0.32092442223610246;0.21723922548407246;0.3632729544034978;0.24634603372891942;1.0;0.3877576514678326;0.32017489069331667;0.38975640224859465;1.0;0.23410368519675204;0.308682073703935;1.0;0.3301686445971268;1.0
0;S22;Resting Open;1.0;0.21111805121798877;0.19600249843847595;0.20699562773266708;0.2033728919425359;0.21311680199875077;0.1566520924422236;0.15727670206121175;1.0;0.6109931292941911;0.5039350405996252;0.602998126171143;0.44797001873828857;0.42648344784509684;0.46533416614615863;1.0;0.5930043722673329;0.45971267957526546;0.36127420362273577;0.43285446595877575;0.3852592129918801;1.0;0.3995003123048095;0.32492192379762647;0.39550281074328547;0.3141786383510306;1.0;0.5361648969394128;0.38326046221111804;0.508682073703935;1.0;0.3114303560274828;0.4122423485321674;1.0;0.39637726420986885;1.0
