;0;1
S2;1.5656242648139014;1.0
S3;-0.08331790831270999;1.0
S5;1.3355345260115;0.8483264888897722
S6;1.3428889338877426;1.0
S7;1.3955576700070014;1.0
S10;0.6434318327572226;0.9992086900459095
S11;0.7708002841032909;1.0
S13;0.6527170821013429;0.9454272969488337
S14;0.8994954832566973;1.0
S15;1.3577502125596623;1.0
S16;1.6099792097887267;0.7086060246510608
S18;1.3283531618460076;0.7434335427557477
S19;0.9301440873164476;1.0
S20;1.4853489311811445;1.0
S22;1.3573266438510636;0.8308044222366323
S24;1.4828768311244105;1.0
