;0;1
S2;1.4124413790694537;0.9209819799106846
S3;1.3626514615283938;0.802685642435518
S5;1.5932978913168283;0.7005708039293919
S6;1.7403300349098423;0.7860626051401005
S7;0.6976973688171059;1.0
S10;0.6624026224642408;0.8078668623962962
S13;1.484418793960766;0.9303041863622525
S14;1.404253972739104;1.0
S15;0.8703452990746433;1.0
S16;1.4006859263914957;1.0
S18;0.814584690614854;0.815458031609381
S19;1.5291104979545374;0.996899228551736
S20;0.7085678711396387;1.0
S21;1.5032924300831485;0.9998634220285983
S22;1.3525254367277264;0.7875407504492966
S23;1.5107338621196278;0.8215162335413893
S24;1.445040493786038;0.8352212642218587
