;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S36;form_left;0.004805794409688154;0.005205731580329499;0.009763659781698422;0.014395950313330727;0.03600578987740997;0.0398429577146161;0.04686801253297754;0.03397253817459884;0.21784629710617462;0.23501932873710532;0.26145203271418205;0.09159449379511549
S37;form_left;0.018898051739278447;0.020346877972184044;0.010362063262348202;0.018646969740301993;0.05034382209302362;0.052790435241020686;0.037496001533032626;0.05984548639069976;0.19490001336259483;0.18046158480637262;0.1404528187872921;0.2134594772926674
S2;reading_words_left;0.026975918904997093;0.03121854041527176;0.019909847251782697;0.023358183028839755;0.03638920758930609;0.046810374762828164;0.04483351188449125;0.06834767581256833;0.13738529885121695;0.14300332811071953;0.1609052244863497;0.2493372679751154
S3;reading_words_left;0.0425981856581852;0.023514688797475026;0.014269529895388601;0.024724203593265572;0.05497760064368859;0.04325548872248417;0.03887354162036721;0.07216151274634496;0.15470903451197127;0.14088574872735496;0.12765113550614543;0.2585224088699269
S5;reading_words_left;0.01664520441542153;0.019087154467768253;0.03899853680834463;0.02604524739837402;0.027933269009490242;0.043360963073405166;0.08576494885549207;0.06712158505759236;0.09160959559887749;0.11276309168082325;0.2599312865400677;0.2068880465732873
S14;reading_words_left;0.01642421131853932;0.011281498194045711;0.018858914644651677;0.018578886263536737;0.018463217484577202;0.02054017041579384;0.09587781654030578;0.09801944792597041;0.03858595868543376;0.056463988546971405;0.2901068326189626;0.3022634100594381
S15;reading_words_left;0.02502628515495829;0.02160106712049662;0.03298910513750936;0.016872590141819663;0.022296056339001804;0.032121476282972405;0.09200730244911061;0.04130990477068739;0.072326533051045;0.11636587630986175;0.37528452392123635;0.14930258557968112
S16;reading_words_left;0.04014126556625021;0.034048726629043256;0.0144757085406893;0.016992909493883365;0.055742441316550644;0.06496433590984486;0.032621301889006395;0.04970908031207122;0.17493514674885122;0.19813312440853786;0.1171613419073646;0.19555797996450042
S18;reading_words_left;0.015789620556033886;0.021604646924818165;0.02644351792209325;0.03047171999463974;0.020560056208125184;0.04418650363112946;0.06175443515040264;0.07948405788370623;0.07010456975223399;0.1500853355106883;0.21731974508417262;0.25443037225581044
S19;reading_words_left;0.013626264283817146;0.025948736293235096;0.03116546050415169;0.019905947670694916;0.029619980302407364;0.053836855701436;0.07288512941185811;0.0402036855630331;0.138408557552558;0.2028188278007655;0.24365485975752474;0.12412436208266324
S21;reading_words_left;0.005901840583846982;0.014121340657899094;0.018002558778571216;0.06241954932165794;0.015383666459797806;0.036975710086213184;0.04715925709935971;0.16339508335323052;0.035714805414739474;0.0857745239178939;0.1094658761648159;0.37889311344521454
S22;reading_words_left;0.03475211737133684;0.024757846527236654;0.01821784685549084;0.06644383690824096;0.03492774316838086;0.0370712854836441;0.04621007149235454;0.1035343383360316;0.09491123904183099;0.10844526005897916;0.15636168963974373;0.24745609585546655
S24;reading_words_left;0.017398386890796515;0.01624653294288513;0.017801322494534505;0.015041879620026167;0.026008021009179663;0.03515511826869372;0.06329221718122982;0.07199603572367537;0.09512431502156313;0.12233706057332952;0.24789449040900507;0.2589350458264944
S26;reading_words_left;0.007095809157097778;0.015215003709665132;0.014848798164012918;0.02173767923803919;0.024253527738081027;0.047475055834237785;0.05162817222355328;0.06156630412202679;0.1408293309908548;0.21403085933148647;0.1934969648559111;0.20156718948926913
S27;reading_words_left;0.0048163570229979935;0.00807419408585826;0.005755680509516009;0.00593421581258808;0.014183483467934004;0.07239447782134902;0.036297762567694104;0.01996203956012542;0.07075866445153169;0.4611342278868646;0.20702045985824064;0.09242479138855654
S29;reading_words_left;0.010591606851359627;0.007980865624776491;0.006724236022813178;0.0171851900400737;0.053820145770001444;0.03350829123137938;0.03236312792110564;0.04280451961153029;0.30810400810475175;0.19618736192609526;0.14903886620361198;0.13678137142342223
S30;reading_words_left;0.0056249066330972515;0.009143293694381079;0.011333666586808601;0.026245739085632762;0.02124963276140343;0.030586340678919473;0.04750828176437286;0.08530131962118663;0.09203859778957095;0.11285972225538335;0.219634423424749;0.331931190474431
S31;reading_words_left;0.006069348357301078;0.005596938240230957;0.008723735347286219;0.014457764709876086;0.018934024247325883;0.026672951452197707;0.039236271038236195;0.06909530933823188;0.11867416484081515;0.16197025699955553;0.16076245262779332;0.3542687933663474
S32;reading_words_left;0.004542151417235786;0.005844546708282996;0.015678669492638086;0.009382616957365492;0.015386091220230809;0.021992096079502563;0.08815754439417937;0.034272593636828205;0.08052288971492365;0.12280774355255107;0.43944548143367473;0.15835056128831013
S33;reading_words_left;0.006568569974298428;0.0061079175495549155;0.007979995585259744;0.013506769631522334;0.030755619861202416;0.028267973578492915;0.03678465842470638;0.055295839837159695;0.24934214358019174;0.18415757228959484;0.14201880257752317;0.23122524168274391
S34;reading_words_left;0.005381963425928476;0.008208418418421409;0.026289687135203254;0.0125390705236002;0.01428044353577322;0.025241219646220774;0.0942949951533949;0.04094643211605726;0.08717601306058231;0.12561588605475132;0.4106535500812351;0.14654795225953665
S36;reading_words_left;0.004519625242804277;0.006290073428167908;0.009990068965747017;0.014842869436817029;0.024652029029302986;0.035474498884220204;0.06174880691874731;0.036803850019210514;0.1533446903445057;0.20810962517132933;0.344447953131905;0.09622188489938682
S37;reading_words_left;0.0120162648517051;0.01138379294074231;0.01758066276662595;0.012953500187534037;0.03160872713542567;0.03163890234226659;0.08293482093720224;0.04337280782490227;0.12349939323879022;0.1300683601837517;0.3436853919930279;0.15809815585109646
S2;color_left;0.028254291618254435;0.027682444503849;0.016963240851262152;0.027257945124589154;0.03706394957834782;0.04719692153008447;0.04079392809148804;0.07834872866607365;0.10538699011515565;0.14121032911152462;0.14838961557600983;0.28898777425461003
S3;color_left;0.06881481916527636;0.03607629862637971;0.011179712028125571;0.02549036874605906;0.06522491730595954;0.04948284856858449;0.028659947814293353;0.0697680903469761;0.1389562220497219;0.13011279076134813;0.10433664536249555;0.2648586276519264
S6;color_left;0.011064465713608921;0.014159154981481103;0.023340332414187193;0.027349766628222794;0.01622242042227357;0.030829897990044958;0.0694086479303662;0.1153835538392006;0.05796806895891715;0.08339182352752197;0.2310054663369865;0.3023436539197705
