Subject;Test;Band;Eyes open;Eyes closed;Dots left
S3;Resting Open;Delta Oz;0.038131849;0.009603331;0.043008610999999995
S6;Resting Open;Delta Oz;0.008174438000000001;0.004962861;0.007139653
S7;Resting Open;Delta Oz;0.02196463;0.013581522;0.025985723999999998
S10;Resting Open;Delta Oz;0.019860365;0.00284779;0.033788793
S11;Resting Open;Delta Oz;0.008332078;0.003175007;0.022169586
S14;Resting Open;Delta Oz;0.024277496000000003;0.008959638;0.011624394
S15;Resting Open;Delta Oz;0.004191558;0.002525223;0.012700331
S16;Resting Open;Delta Oz;0.036566199;0.010626858999999999;0.045071241
S18;Resting Open;Delta Oz;0.02393008;0.013124302;0.019216501
S21;Resting Open;Delta Oz;0.027410821000000002;0.011982843;0.036488712
S22;Resting Open;Delta Oz;0.028738121000000002;0.013751013999999999;0.033967895
S23;Resting Open;Delta Oz;0.018523961000000002;0.007579319;0.018698543999999998
S24;Resting Open;Delta Oz;0.01720517;0.004780743;0.022481177999999997
S27;Resting Open;Delta Oz;0.005270254;0.001662668;0.009353378
S28;Resting Open;Delta Oz;0.025708214;0.008127315999999999;0.025948171000000003
S29;Resting Open;Delta Oz;0.005182245;0.001488676;0.012177493000000001
S30;Resting Open;Delta Oz;0.004012352;0.004899939;0.009688236999999999
S31;Resting Open;Delta Oz;0.015583284;0.004907055;0.008313034
S32;Resting Open;Delta Oz;0.006019025;0.00196603;0.012169608
S33;Resting Open;Delta Oz;0.004994765;0.0020799679999999997;0.009698039
S34;Resting Open;Delta Oz;0.0020346270000000002;0.001942137;0.0062748230000000006
S36;Resting Open;Delta Oz;0.006194246;0.0009786060000000001;0.0031690209999999997
S3;Resting Open;Delta O1 O2;0.049912199000000004;0.021311492999999997;0.064116694
S6;Resting Open;Delta O1 O2;0.013077064;0.009755708;0.019893871
S7;Resting Open;Delta O1 O2;0.037113028;0.016327259;0.038532269
S10;Resting Open;Delta O1 O2;0.026809141;0.009388465;0.043308429
S11;Resting Open;Delta O1 O2;0.016406852;0.005414451;0.042069958
S14;Resting Open;Delta O1 O2;0.032384738999999996;0.020674613999999997;0.021726089
S15;Resting Open;Delta O1 O2;0.007895677;0.004967415;0.021296534
S16;Resting Open;Delta O1 O2;0.04511456900000001;0.014113667;0.052852517
S18;Resting Open;Delta O1 O2;0.026762871;0.024028524;0.020297831000000002
S21;Resting Open;Delta O1 O2;0.03232083;0.024308114;0.06254086
S22;Resting Open;Delta O1 O2;0.038706165;0.018410112;0.040871664
S23;Resting Open;Delta O1 O2;0.018134627;0.012981128;0.032244219
S24;Resting Open;Delta O1 O2;0.038380963;0.006641106;0.052961728
S27;Resting Open;Delta O1 O2;0.013558418999999999;0.004517662;0.024812337
S28;Resting Open;Delta O1 O2;0.041104638;0.010751468;0.056899734
S29;Resting Open;Delta O1 O2;0.018566931000000002;0.0045678490000000006;0.058084435999999996
S30;Resting Open;Delta O1 O2;0.017012802;0.022022845;0.03173611
S31;Resting Open;Delta O1 O2;0.05635808;0.019564106;0.058240913
S32;Resting Open;Delta O1 O2;0.026958912;0.0074342819999999995;0.036536868
S33;Resting Open;Delta O1 O2;0.016056715;0.006641069;0.015431371000000001
S34;Resting Open;Delta O1 O2;0.00538698;0.004458049;0.018068216
S36;Resting Open;Delta O1 O2;0.041715821;0.0042921240000000005;0.015096323
S3;Resting Open;Delta PO;0.127635255;0.083247387;0.179128724
S6;Resting Open;Delta PO;0.05855033900000001;0.03754930000000001;0.054577495
S7;Resting Open;Delta PO;0.17236655;0.09097360300000001;0.128035509
S10;Resting Open;Delta PO;0.10751246199999999;0.049007967;0.13765888
S11;Resting Open;Delta PO;0.05340667;0.017799838999999998;0.170713705
S14;Resting Open;Delta PO;0.09534382699999999;0.073716623;0.075462068
S15;Resting Open;Delta PO;0.04026507;0.02284573;0.07960993400000001
S16;Resting Open;Delta PO;0.14456522800000002;0.041614851;0.11175899
S18;Resting Open;Delta PO;0.09696266099999999;0.09226702;0.07925346700000001
S21;Resting Open;Delta PO;0.110837594;0.12624333199999999;0.17671935800000002
S22;Resting Open;Delta PO;0.120708673;0.073910828;0.11225968800000001
S23;Resting Open;Delta PO;0.050363360999999995;0.033260758;0.09755351300000001
S24;Resting Open;Delta PO;0.197045766;0.025526891;0.194169877
S27;Resting Open;Delta PO;0.06000004900000001;0.021012898999999998;0.11358157099999999
S28;Resting Open;Delta PO;0.195122746;0.042385075;0.227093057
S29;Resting Open;Delta PO;0.151766727;0.017732211;0.290029751
S30;Resting Open;Delta PO;0.074820174;0.068081482;0.127756861
S31;Resting Open;Delta PO;0.245207117;0.160070303;0.17785124
S32;Resting Open;Delta PO;0.159713551;0.037636866;0.181550712
S33;Resting Open;Delta PO;0.111273894;0.02860608;0.130456832
S34;Resting Open;Delta PO;0.032604764;0.021553316;0.103459676
S36;Resting Open;Delta PO;0.24801130600000001;0.025289651;0.09459785400000001
