Subject;Test;Band;Eyes open;Eyes closed;Dots left
S3;Resting Open;Beta Oz;0.025248742999999997;0.032017288;0.019305441
S6;Resting Open;Beta Oz;0.017309674;0.013324856999999999;0.023887763
S7;Resting Open;Beta Oz;0.012192423;0.013910509;0.014127498
S10;Resting Open;Beta Oz;0.014292371000000002;0.006548071999999999;0.013664943
S11;Resting Open;Beta Oz;0.011634345;0.005305893000000001;0.020626865
S14;Resting Open;Beta Oz;0.018174808;0.010563008999999998;0.02107593
S15;Resting Open;Beta Oz;0.012781897;0.00892976;0.017572535
S16;Resting Open;Beta Oz;0.015579023999999999;0.013468487;0.019712977
S18;Resting Open;Beta Oz;0.0266205;0.02268642;0.025128364
S21;Resting Open;Beta Oz;0.016704348;0.016216511;0.012085877
S22;Resting Open;Beta Oz;0.056051181;0.051565742000000005;0.070449647
S23;Resting Open;Beta Oz;0.018123656999999998;0.009587316;0.021456701
S24;Resting Open;Beta Oz;0.013556347;0.0036242379999999997;0.012280355
S27;Resting Open;Beta Oz;0.007429715;0.004337897;0.01274636
S28;Resting Open;Beta Oz;0.011195752;0.005440213;0.009573593
S29;Resting Open;Beta Oz;0.008476761;0.00455784;0.014966968
S30;Resting Open;Beta Oz;0.015032307;0.01498129;0.017608362
S31;Resting Open;Beta Oz;0.012342842;0.021448255;0.013805825
S32;Resting Open;Beta Oz;0.013256249;0.005213848;0.012156598999999999
S33;Resting Open;Beta Oz;0.016693167;0.00938941;0.017016309
S34;Resting Open;Beta Oz;0.004271332;0.0038092509999999996;0.010857216000000001
S36;Resting Open;Beta Oz;0.011439266000000002;0.0016319770000000002;0.004296329000000001
S3;Resting Open;Beta O1 O2;0.079416145;0.097430192;0.055507917999999996
S6;Resting Open;Beta O1 O2;0.06448383099999999;0.051578942999999995;0.11394582
S7;Resting Open;Beta O1 O2;0.054774712999999996;0.056327385;0.057934991
S10;Resting Open;Beta O1 O2;0.055669499000000004;0.026312697000000003;0.052822597
S11;Resting Open;Beta O1 O2;0.032570893;0.013680267;0.068170788
S14;Resting Open;Beta O1 O2;0.054436799;0.033387272999999995;0.096375415
S15;Resting Open;Beta O1 O2;0.03726498;0.02754013;0.049830214000000005
S16;Resting Open;Beta O1 O2;0.065697937;0.045137433;0.080223031
S18;Resting Open;Beta O1 O2;0.063907279;0.066253068;0.062429992999999996
S21;Resting Open;Beta O1 O2;0.060450517;0.062166417;0.043918648
S22;Resting Open;Beta O1 O2;0.09083721;0.075580466;0.106346624
S23;Resting Open;Beta O1 O2;0.068732187;0.034473488999999996;0.082958022
S24;Resting Open;Beta O1 O2;0.037784434;0.010422993;0.032919896000000004
S27;Resting Open;Beta O1 O2;0.020514979;0.011751218;0.034625425
S28;Resting Open;Beta O1 O2;0.037386216;0.019287126;0.035253741
S29;Resting Open;Beta O1 O2;0.030085384;0.016072087;0.041929731
S30;Resting Open;Beta O1 O2;0.07375603;0.060024876;0.073519795
S31;Resting Open;Beta O1 O2;0.03866993;0.06756791200000001;0.057813011
S32;Resting Open;Beta O1 O2;0.047678831;0.020194898;0.043111422999999996
S33;Resting Open;Beta O1 O2;0.06997195099999999;0.047904402;0.040811006000000004
S34;Resting Open;Beta O1 O2;0.015460421;0.013430535;0.034536032
S36;Resting Open;Beta O1 O2;0.028164526000000002;0.00727376;0.015925281
S3;Resting Open;Beta PO;0.293113373;0.342243345;0.213243034
S6;Resting Open;Beta PO;0.25720008;0.193513285;0.414729996
S7;Resting Open;Beta PO;0.233397235;0.29095922;0.224811677
S10;Resting Open;Beta PO;0.236403755;0.112696049;0.235255715
S11;Resting Open;Beta PO;0.109046583;0.0524131;0.224852253
S14;Resting Open;Beta PO;0.255719192;0.159214937;0.335616485
S15;Resting Open;Beta PO;0.123968643;0.09577325099999999;0.22222567199999999
S16;Resting Open;Beta PO;0.241184175;0.160864286;0.266559406
S18;Resting Open;Beta PO;0.232405941;0.23858859699999999;0.242270355
S21;Resting Open;Beta PO;0.298792343;0.29206799;0.20188428
S22;Resting Open;Beta PO;0.21731391;0.17387220899999997;0.236651933
S23;Resting Open;Beta PO;0.20804660600000002;0.101386332;0.277933933
S24;Resting Open;Beta PO;0.15466507;0.045843239;0.139837151
S27;Resting Open;Beta PO;0.08712239;0.049733445999999994;0.152404291
S28;Resting Open;Beta PO;0.182149013;0.101201101;0.175054559
S29;Resting Open;Beta PO;0.11091132;0.061104445;0.14789611
S30;Resting Open;Beta PO;0.28123366;0.24397726100000003;0.33693696
S31;Resting Open;Beta PO;0.1448539;0.17816010100000002;0.22974693899999998
S32;Resting Open;Beta PO;0.203155731;0.089047656;0.17822094600000002
S33;Resting Open;Beta PO;0.32386140399999996;0.223108279;0.278438868
S34;Resting Open;Beta PO;0.06381350400000001;0.052359724;0.133000286
S36;Resting Open;Beta PO;0.09148513800000001;0.033490747;0.071993372
