;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S5;Resting;0.007526;0.010376674;0.065798095;0.045331007;0.006639572;0.011796371;0.078313407;0.05765797;0.008426817;0.011467909;0.082190801;0.06332936;0.007789546;0.009209836;0.061603544;0.039508737;0.007705987;0.009083688;0.063395546;0.042042404;0.006874643;0.010138759;0.060543915;0.040706309;0.007488846;0.00995662;0.059001727;0.033627159;-6.60583;-8.9411;4.22511;8.19304
S6;Resting;0.008546755;0.014735703;0.070658927;0.022947303;0.008341649;0.01488573;0.076191851;0.026279047;0.008179694;0.015166092;0.085882618;0.037296272;0.007656328;0.014504116;0.092735693;0.026191696;0.007088038;0.01304691;0.128765196;0.033214702;0.007936909;0.013910443;0.067897938;0.018487639;0.006340676;0.012510271;0.073520257;0.01525102;-6.49386;-6.49834;7.96533;-1.88799
S7;Resting;0.021631958;0.028018275;0.03841667;0.022155952;0.017651658;0.029685408;0.040016309;0.023536836;0.018525637;0.029806465;0.044751222;0.024531252;0.021845666;0.035731782;0.046162057;0.023916554;0.019446456;0.033335832;0.057023813;0.028721709;0.049367231;0.038666333;0.034994656;0.019456925;0.038964194;0.033091573;0.037248068;0.021496857;2.99698;5.40068;-1.36368;-2.83329
S10;Resting;0.005549823;0.012721171;0.08927234;0.012760997;0.005553831;0.011426415;0.093071226;0.012232643;0.005603374;0.011231464;0.099069063;0.012548597;0.005547611;0.01336491;0.102118663;0.013942746;0.005719847;0.014565158;0.127551561;0.015864259;0.005551476;0.011289234;0.0919942;0.011101346;0.005733815;0.0128981;0.099646177;0.011914599;-7.56592;-7.51923;11.3808;-7.9827
S11;Resting;0.006330313;0.007662774;0.08675947;0.010578864;0.006459375;0.008060679;0.100028029;0.010762254;0.005843722;0.008324718;0.109984335;0.011396888;0.006151853;0.007490167;0.094779232;0.010886475;0.005897108;0.008100092;0.116393528;0.012883236;0.005448804;0.008125243;0.1476366;0.011246316;0.005642022;0.00727482;0.125963605;0.011520542;-7.37973;-10.5121;13.502;-8.77642
S15;Resting;0.004492372;0.010219933;0.095711089;0.015886045;0.00505393;0.011667085;0.118819854;0.01787766;0.004952979;0.011686202;0.119202792;0.016896916;0.004275102;0.010826508;0.090435342;0.015168592;0.004646623;0.012558586;0.097947492;0.015851167;0.004382019;0.010203681;0.095385284;0.013531659;0.003563339;0.009744745;0.077391355;0.012871544;-8.13778;-8.51064;11.412;-6.73337
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;-2.23302;-2.70144;5.26413;-3.629
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-1.54582;7.2086;-2.1635;3.05405
S20;Resting;0.014075598;0.014898226;0.096791014;0.018498075;0.014379626;0.011433213;0.096791832;0.019377205;0.005991989;0.007883702;0.107346843;0.020547934;0.004475124;0.006711701;0.09840878;0.018274785;0.004089815;0.00634337;0.110270059;0.01960604;0.005910556;0.006934678;0.108614484;0.017810646;0.003560909;0.00500293;0.096491001;0.014432585;-6.60417;-10.1234;11.8358;-5.30896
S21;Resting;0.021643268;0.036961362;0.028339;0.02929007;0.021345501;0.044838794;0.028931028;0.03222966;0.02134602;0.044451181;0.03531313;0.037532353;0.023075397;0.03537693;0.034141181;0.032273828;0.023787837;0.037548532;0.032360473;0.029732584;0.018125362;0.034255373;0.023136259;0.022693951;0.018928604;0.02965891;0.023950734;0.023594594;0.36786;8.53864;-4.23552;0.194154
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-3.67769;-4.88636;-1.57512;12.299
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;-6.38477;-10.4302;13.7142;-10.6462
S3;Visual field;0.058363329;0.030271037;0.011109275;0.02114838;0.058562869;0.031579825;0.011940354;0.022693894;0.059260838;0.031300143;0.012455558;0.024164243;0.056801078;0.030132754;0.011338537;0.021595268;0.05678456;0.031587718;0.012216353;0.023233242;0.054685346;0.031668338;0.012488671;0.022264119;0.050854446;0.028024431;0.011219707;0.021690679;18.2852;4.11951;-8.22558;-3.32222
S5;Visual field;0.013918209;0.017973822;0.057424149;0.030384331;0.015035964;0.018623793;0.061979885;0.031834949;0.017071273;0.025215743;0.077031809;0.058955323;0.014372812;0.017607964;0.055774721;0.030211976;0.014193138;0.017473303;0.060597121;0.031514984;0.01200474;0.015062326;0.055673678;0.028551104;0.013638436;0.017238938;0.052612634;0.028749561;-3.11843;-3.71936;2.55991;2.22803
S6;Visual field;0.022754354;0.03303287;0.039001049;0.031714002;0.023330321;0.034781029;0.037638944;0.037751485;0.026199824;0.03541029;0.036933067;0.044577104;0.022165351;0.03351568;0.039567984;0.033243242;0.019563827;0.029249228;0.039991471;0.034526873;0.019632693;0.028100638;0.03487558;0.029189146;0.017236931;0.024985014;0.043063524;0.023951911;0.550467;4.52155;-2.20491;2.07461
S7;Visual field;0.041487665;0.045169713;0.018888965;0.021443083;0.041985611;0.045301367;0.019983033;0.023368669;0.041806087;0.046794884;0.020583066;0.024758293;0.044213752;0.044717107;0.018313673;0.021720874;0.039747802;0.045617112;0.018749994;0.024384984;0.036248151;0.041181997;0.017855935;0.018198903;0.039291824;0.040174001;0.01678704;0.017233243;10.2933;12.7817;-6.6554;-3.73453
S10;Visual field;0.024853654;0.025935435;0.056545534;0.015343557;0.024958122;0.025512154;0.052214343;0.015190382;0.024619369;0.025849614;0.05106566;0.015408031;0.025350679;0.026473318;0.061621245;0.016141802;0.027501537;0.027811032;0.068718938;0.0190295;0.036222467;0.028733271;0.048145254;0.01461118;0.023852779;0.024652569;0.059669142;0.015039926;3.10156;1.4022;1.84086;-6.54665
S11;Visual field;0.022349439;0.03751723;0.040074066;0.028733706;0.023508741;0.037553068;0.038829744;0.028327181;0.023591397;0.036306705;0.032932839;0.027134747;0.02190743;0.036412076;0.040743149;0.032597006;0.021296644;0.036320314;0.037635524;0.032065166;0.023444389;0.0357965;0.045973929;0.024768538;0.020566605;0.03453843;0.047904011;0.028250411;0.947437;7.80456;-1.81924;-0.0739522
S15;Visual field;0.011607073;0.022657802;0.070796099;0.022279336;0.013018525;0.025023778;0.070682567;0.02382992;0.012940237;0.025050474;0.064449145;0.023151873;0.011090409;0.022031195;0.069262887;0.021846791;0.010745042;0.022702739;0.068341782;0.022781007;0.010697141;0.021901771;0.066817695;0.020758508;0.009816059;0.021179348;0.07428376;0.020482381;-4.60728;-0.82629;4.64268;-3.40767
S16;Visual field;0.043202887;0.040328715;0.02297016;0.023572067;0.041298243;0.040847883;0.022560022;0.025821212;0.038613343;0.040438421;0.021695827;0.024035254;0.043041725;0.041133629;0.021236828;0.023276235;0.04259205;0.039337752;0.019980686;0.025721056;0.03322613;0.032090603;0.020852631;0.017630893;0.036803973;0.033775018;0.02207875;0.017565227;9.86401;9.03188;-6.00002;-3.23373
S18;Visual field;0.021376293;0.034679876;0.034907403;0.033195635;0.022029056;0.035633691;0.035993102;0.034455783;0.021049836;0.039304646;0.036372371;0.036139594;0.021924366;0.033742173;0.030032825;0.031996637;0.022116361;0.033980678;0.029908263;0.032523907;0.018815668;0.033760215;0.046914145;0.035823114;0.018907632;0.031154444;0.034445298;0.033449055;0.21427;6.64916;-2.96555;2.39592
