;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;alpha_1;beta_1;delta_1;theta_1
S10;Resting;0.005549823;0.012721171;0.08927234;0.012760997;0.005553831;0.011426415;0.093071226;0.012232643;0.005603374;0.011231464;0.099069063;0.012548597;0.005547611;0.01336491;0.102118663;0.013942746;0.005719847;0.014565158;0.127551561;0.015864259;0.005551476;0.011289234;0.0919942;0.011101346;0.005733815;0.0128981;0.099646177;0.011914599;11.823;-7.03182;-8.18039;-7.66371
S11;Resting;0.006330313;0.007662774;0.08675947;0.010578864;0.006459375;0.008060679;0.100028029;0.010762254;0.005843722;0.008324718;0.109984335;0.011396888;0.006151853;0.007490167;0.094779232;0.010886475;0.005897108;0.008100092;0.116393528;0.012883236;0.005448804;0.008125243;0.1476366;0.011246316;0.005642022;0.00727482;0.125963605;0.011520542;13.878;-7.78565;-7.99558;-10.154
S14;Resting;0.014397188;0.016674321;0.068808211;0.016973634;0.01613691;0.016230966;0.076058145;0.0191452;0.017307829;0.019756632;0.093542342;0.036320974;0.014588955;0.017936798;0.072158824;0.016456529;0.014351976;0.02062506;0.079924461;0.017698967;0.013393075;0.015815868;0.07884264;0.019869762;0.013620614;0.016339868;0.085581483;0.017603747;7.25475;-3.55966;-3.77654;-4.8746
S15;Resting;0.004492372;0.010219933;0.095711089;0.015886045;0.00505393;0.011667085;0.118819854;0.01787766;0.004952979;0.011686202;0.119202792;0.016896916;0.004275102;0.010826508;0.090435342;0.015168592;0.004646623;0.012558586;0.097947492;0.015851167;0.004382019;0.010203681;0.095385284;0.013531659;0.003563339;0.009744745;0.077391355;0.012871544;11.8754;-5.8011;-8.70237;-8.45171
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;5.93824;-2.89078;-3.12803;-3.51389
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-1.24768;3.36575;-2.49607;4.81411
S21;Resting;0.021643268;0.036961362;0.028339;0.02929007;0.021345501;0.044838794;0.028931028;0.03222966;0.02134602;0.044451181;0.03531313;0.037532353;0.023075397;0.03537693;0.034141181;0.032273828;0.023787837;0.037548532;0.032360473;0.029732584;0.018125362;0.034255373;0.023136259;0.022693951;0.018928604;0.02965891;0.023950734;0.023594594;-3.25498;0.768775;-0.694299;6.06328
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-0.679166;11.9556;-4.52022;-5.41813
S23;Resting;0.011276084;0.010652038;0.092593249;0.01426347;0.011137001;0.010340885;0.093732227;0.01355194;0.010530895;0.010764072;0.100329458;0.013033326;0.011780861;0.010867333;0.101482471;0.016960395;0.011231385;0.010145445;0.110249699;0.014372796;0.009780741;0.009702789;0.086980801;0.009769245;0.010058854;0.010434363;0.107569581;0.010931861;11.6113;-6.81997;-5.66584;-8.78476
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;14.0463;-9.54077;-7.06144;-10.0935
2S3;Resting;0.007764093;0.012516312;0.062456801;0.020256504;0.007107789;0.013438782;0.080843657;0.019115293;0.00682464;0.015206905;0.106298154;0.019475413;0.006194634;0.010245765;0.05496638;0.017310072;0.004973527;0.008263834;0.05034668;0.014521704;0.009329592;0.017740179;0.125151647;0.029049942;0.008055437;0.012714694;0.079635916;0.026803619;7.23584;-3.37503;-7.4641;-7.4728
2S4;Resting;0.023255999;0.020054514;0.045923214;0.015566957;0.025120391;0.021801345;0.060502225;0.019014492;0.029626633;0.027082951;0.104121653;0.027475515;0.010842441;0.013123763;0.051155568;0.012579903;0.012549161;0.011994349;0.06832387;0.013997385;0.022604812;0.01935942;0.09215899;0.022920847;0.015940931;0.014529308;0.077165768;0.01837786;5.18519;-4.46298;-1.36668;-4.47094
2S5;Resting;0.005013728;0.00664728;0.065989865;0.015350399;0.006103417;0.007870734;0.102375906;0.016841981;0.005719019;0.010720453;0.165489643;0.020155521;0.00468612;0.006562915;0.079185618;0.017066163;0.004742755;0.006697074;0.108420634;0.018482316;0.006073744;0.008251831;0.099011452;0.017509493;0.004866356;0.006987545;0.071902977;0.016593871;11.2078;-4.97365;-8.32299;-10.2646
2S6;Resting;0.012944417;0.01984613;0.046201583;0.039576833;0.014124228;0.020682863;0.050967252;0.042085986;0.014249894;0.022869862;0.054022794;0.046667217;0.018783859;0.024086616;0.045282893;0.036044647;0.016427789;0.022747217;0.054716137;0.034074148;0.009635624;0.020949481;0.058226511;0.038826302;0.012476471;0.02312151;0.059549143;0.036804315;1.56837;5.18316;-4.06744;-2.54239
2S7;Resting;0.010930859;0.018795424;0.037929764;0.047777715;0.015667871;0.018069088;0.03392256;0.05070991;0.018247307;0.021768597;0.032176243;0.054288037;0.012672042;0.019593749;0.06244054;0.06141484;0.040397313;0.018528565;0.030561392;0.026933305;0.018731066;0.022474072;0.032628983;0.040904787;0.018158122;0.020276039;0.043674653;0.033367428;-1.08448;8.12468;-1.66882;-3.67773
2S8;Resting;0.007051815;0.016425505;0.066425672;0.018701188;0.007394144;0.015663026;0.072760472;0.019362714;0.007761282;0.017366737;0.100260956;0.021455306;0.006532415;0.017187831;0.072740192;0.018603754;0.007362603;0.018752874;0.077018154;0.018962165;0.008213506;0.021796002;0.089776754;0.019943062;0.008321746;0.027472204;0.091761955;0.018684129;7.62471;-4.03195;-7.29387;-4.21689
2S9;Resting;0.006461121;0.011724852;0.048258114;0.029166849;0.006597269;0.012888837;0.065735391;0.034380716;0.007682958;0.012605553;0.081196416;0.040319368;0.00643827;0.011193178;0.059761397;0.03304979;0.004554157;0.00905398;0.065815081;0.037620951;0.008496225;0.015560234;0.095871588;0.045089729;0.006968211;0.011773341;0.087169588;0.039119907;5.41441;3.94653;-7.66714;-7.87042
2S10;Resting;0.004902422;0.007917356;0.080046051;0.009615468;0.005731072;0.008561305;0.10293231;0.011169336;0.006007837;0.009530227;0.102223751;0.010858974;0.00367738;0.006828847;0.083579386;0.009818523;0.003600011;0.006799002;0.076763783;0.010439514;0.007574516;0.010393977;0.13424268;0.013761574;0.006489689;0.009410123;0.141589089;0.013574915;12.1037;-7.81516;-8.31326;-9.85374
2S11;Resting;0.027863328;0.023799624;0.018234168;0.02719102;0.029413424;0.026186167;0.020056509;0.029953058;0.033792586;0.02539606;0.020601857;0.02757741;0.024320271;0.020946629;0.017764449;0.02618924;0.025794634;0.022501235;0.022052779;0.039232193;0.040412907;0.031023166;0.02878211;0.032054064;0.033382612;0.02799204;0.027171958;0.042559657;-4.98438;1.62069;3.5971;-0.760401
2S12;Resting;0.004418553;0.014872831;0.06030568;0.007368621;0.004786827;0.015904645;0.081373179;0.00758108;0.006187199;0.018393406;0.090401207;0.007539211;0.004052579;0.016685088;0.0702938;0.00729415;0.005307016;0.01944685;0.087790311;0.006115684;0.006530442;0.02560065;0.139697875;0.009771178;0.00632842;0.029932366;0.12357158;0.010059807;9.74065;-9.35254;-8.32814;-3.79353
2S13;Resting;0.005427338;0.017296859;0.071034367;0.015301688;0.006431154;0.01855525;0.096549833;0.017792074;0.005530665;0.014935766;0.07456258;0.015090474;0.006264123;0.018720381;0.085203576;0.018073917;0.007668744;0.019049455;0.147403277;0.025937317;0.006436579;0.017616479;0.087391227;0.017272536;0.006753651;0.018708606;0.100162077;0.020138436;10.3337;-4.51967;-7.82541;-4.78391
S3;Dots left;0.051763873;0.033808572;0.015539028;0.023235449;0.054002874;0.035695503;0.016009495;0.025165724;0.052067754;0.036025769;0.015568058;0.02596598;0.050711434;0.03275323;0.015539255;0.023099936;0.04807476;0.033035229;0.015809809;0.023713669;0.049275346;0.033554497;0.015645405;0.024039417;0.044717515;0.031096086;0.015336798;0.022453403;-6.26656;-1.89592;13.0861;3.85063
S6;Dots left;0.017062763;0.030751;0.020498115;0.05708838;0.025726442;0.031588274;0.023722659;0.056115355;0.017289982;0.031350686;0.025813586;0.063629568;0.017679247;0.027786153;0.023136879;0.076662372;0.01673447;0.02621511;0.021073677;0.080253246;0.015472917;0.026660655;0.017759821;0.037328611;0.013884827;0.023019572;0.013925113;0.037747772;-5.0936;14.1791;-2.34713;0.941755
S7;Dots left;0.038737358;0.050851426;0.017205203;0.0210601;0.038930147;0.050313881;0.018468328;0.022792778;0.038577715;0.050435004;0.019106934;0.024108552;0.036888753;0.051158898;0.016705642;0.020798258;0.037280112;0.053178257;0.01685534;0.019537866;0.034801929;0.046138031;0.016526959;0.01910111;0.03292651;0.046063842;0.014931516;0.01679629;-5.93491;-3.39788;6.78781;12.5407
S10;Dots left;0.042003194;0.043335705;0.017418771;0.016987031;0.03994025;0.041149036;0.017832333;0.016971488;0.037769512;0.04021855;0.0184384;0.017549102;0.04206195;0.044035435;0.018055332;0.017295982;0.045397707;0.045932577;0.020803816;0.019755141;0.051736561;0.040058999;0.018580056;0.016047152;0.041432292;0.042792363;0.018246381;0.014829328;-5.67731;-5.08332;9.56479;8.55116
S11;Dots left;0.032136886;0.046406436;0.017374854;0.029900567;0.032036383;0.046666997;0.016857436;0.030227195;0.031135111;0.04424851;0.016122171;0.030289567;0.030162318;0.044872653;0.018816141;0.037614536;0.029731399;0.044049937;0.017569176;0.037050476;0.030373821;0.044344564;0.015640526;0.024948458;0.029808301;0.044648538;0.016305429;0.027438344;-5.96264;1.38433;3.81877;9.93481
S14;Dots left;0.022436628;0.027994157;0.028962274;0.04067935;0.020903898;0.026944697;0.038265412;0.061311218;0.025244188;0.02953744;0.038212171;0.077836095;0.02360801;0.027173875;0.02917225;0.042913938;0.021724952;0.027200764;0.030426455;0.053269847;0.024828178;0.028551416;0.029720974;0.033964189;0.018890862;0.02596358;0.021673085;0.02715207;-2.93328;9.42778;-0.0992852;0.534357
S15;Dots left;0.020500595;0.035537881;0.030544636;0.028365201;0.022261485;0.039578569;0.034823734;0.031984169;0.023552877;0.037980892;0.036112312;0.032740709;0.019187291;0.036203302;0.032034699;0.02728722;0.017993449;0.039053408;0.041725208;0.029202042;0.01783995;0.032173299;0.041090381;0.026157626;0.01617515;0.032634328;0.037751898;0.025146457;-1.93634;0.339023;-1.44889;5.20963
S16;Dots left;0.05013607;0.04084986;0.013398985;0.0219282;0.053043713;0.042080454;0.014698862;0.027509497;0.052255607;0.042318315;0.012739538;0.023296143;0.053095043;0.041848865;0.013230648;0.019936626;0.050610747;0.038326731;0.01188209;0.01743528;0.047334392;0.033632897;0.011388182;0.015413247;0.044372424;0.034819803;0.011361099;0.014333555;-6.8755;-3.59332;13.1265;6.83005
S18;Dots left;0.024874245;0.034981342;0.028143829;0.032526687;0.023603349;0.035190661;0.027914508;0.03445828;0.023272037;0.036329195;0.03107052;0.037854806;0.025218218;0.033870645;0.030088206;0.032642946;0.024755708;0.034930771;0.035640813;0.036316834;0.019944263;0.031351397;0.026440482;0.031935225;0.020623634;0.03085404;0.03397159;0.033590354;-3.12671;2.79208;0.271312;3.98657
