;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;alpha_1;beta_1;delta_1;theta_1
S18;Visual field right;0.027260657;0.035033359;0.034065753;0.027846812;0.026897583;0.034892271;0.034811677;0.028913709;0.027360973;0.036627345;0.037023401;0.031693177;0.028907152;0.034187695;0.032133405;0.028032134;0.029312844;0.034731516;0.035166694;0.029574026;0.025759985;0.032008589;0.03992863;0.029079381;0.024462803;0.033738906;0.034731987;0.028373381;-2.76369;0.00754219;3.23537;5.20195
S19;Visual field right;0.030652311;0.029587428;0.019504036;0.044606087;0.002280622;0.002197356;0.001432126;0.003212148;0.032855661;0.031388767;0.020399111;0.046068201;0.009172089;0.008822048;0.00575462;0.013024697;0.027163693;0.026113782;0.01706659;0.038813716;0.035835811;0.034346879;0.022433976;0.05086933;0.017508449;0.016723055;0.010819942;0.024361465;-7.90834;1.47636;1.30109;-1.76707
S20;Visual field right;0.046959002;0.028715039;0.034665012;0.022078443;0.048222379;0.029219256;0.034065698;0.022015144;0.048459141;0.029346341;0.029380629;0.024800902;0.04605644;0.029130069;0.029458938;0.024807421;0.042698091;0.027966982;0.022440186;0.022755579;0.045465059;0.024508803;0.039215447;0.017021455;0.034950292;0.021316634;0.036780032;0.016132988;-3.44467;-4.32964;12.1612;0.765017
S21;Visual field right;0.036663548;0.039924124;0.02408046;0.021853378;0.034665857;0.039938892;0.024965243;0.023763468;0.033423595;0.039305306;0.026163597;0.025003685;0.034870829;0.037753206;0.025571405;0.021664433;0.032716091;0.03645513;0.022133973;0.020115361;0.027230757;0.03429119;0.02046729;0.018468454;0.027882823;0.033444746;0.02066824;0.018311011;-5.52045;-4.3148;5.95675;6.74587
S22;Visual field right;0.027738273;0.025649031;0.022403151;0.050660066;0.028161325;0.025314663;0.021218621;0.051006245;0.027284099;0.025059094;0.018417699;0.050401317;0.026648786;0.025283401;0.023861162;0.049341477;0.025488685;0.024821573;0.021310821;0.046726332;0.026547472;0.023662691;0.023339971;0.049960534;0.024791222;0.023840908;0.03090552;0.049308129;-5.69772;11.4646;2.9014;-0.48935
S24;Visual field right;0.020403169;0.026739651;0.055998266;0.015782779;0.0214692;0.027712746;0.050760073;0.016943615;0.021039866;0.028539148;0.050716678;0.019697021;0.02037688;0.028716026;0.063494641;0.016771092;0.020944922;0.031897489;0.061884018;0.018877234;0.018981289;0.024975757;0.064763891;0.017013903;0.019776235;0.028723681;0.105838964;0.020515203;3.92523;-6.13312;-0.301563;1.55829
2S2;Visual field right;0.012344054;0.035799822;0.042324236;0.041574277;0.010820889;0.034443893;0.040800997;0.0416763;0.012465048;0.036216404;0.040676939;0.052131277;0.009833867;0.02943218;0.038431158;0.051184311;0.01248224;0.025916686;0.03019546;0.057041174;0.013390399;0.030466228;0.047572217;0.03728686;0.01180217;0.026133748;0.04369548;0.036828275;-1.48607;8.79007;-4.66876;3.09596
2S3;Visual field right;0.022655091;0.029855168;0.030994451;0.031217651;0.022761592;0.027558647;0.033424164;0.029945635;0.030823179;0.029468651;0.0434092;0.031743347;0.025022895;0.026085302;0.026903472;0.027720783;0.012236528;0.020161067;0.024243181;0.024074657;0.028172491;0.035257517;0.064613969;0.036913959;0.019864734;0.026341473;0.059266843;0.034140486;-1.87275;1.13027;1.04666;1.32988
2S4;Visual field right;0.039194048;0.038729743;0.02015106;0.019943377;0.049106782;0.04653461;0.024859202;0.023363605;0.058593654;0.058256851;0.026590333;0.025089059;0.031189795;0.028659975;0.01499548;0.016571593;0.04020142;0.023866053;0.012044084;0.016878546;0.044949812;0.038971261;0.021823926;0.022021806;0.028770016;0.028348263;0.017456385;0.021502815;-6.44542;-4.55004;10.3741;6.49506
2S5;Visual field right;0.019034645;0.018406956;0.02878979;0.034150438;0.017509883;0.019481872;0.031067535;0.035165894;0.021774452;0.020667322;0.028114934;0.038633409;0.016944;0.017308613;0.032613197;0.032734755;0.016045916;0.01644731;0.031405977;0.031895044;0.022366852;0.023123134;0.034773626;0.031050677;0.0189202;0.019996581;0.034156507;0.028588804;-3.67476;2.24042;-1.0307;-3.67328
2S6;Visual field right;0.013550499;0.016436194;0.047814662;0.045978826;0.01558167;0.017939495;0.04805668;0.048948346;0.014176623;0.016280651;0.039591265;0.049460454;0.015659;0.019736745;0.043305155;0.044327442;0.011322111;0.016059874;0.036606711;0.03956503;0.01844243;0.019993469;0.042338239;0.048889557;0.014871527;0.018142958;0.046150615;0.047676936;-0.715563;9.70307;-3.24451;-4.57647
2S7;Visual field right;0.022133323;0.019235737;0.023676881;0.043160654;0.023270362;0.020251689;0.024350839;0.0423288;0.025357976;0.021917925;0.026183879;0.046253418;0.026476283;0.017394133;0.024579806;0.052379129;0.027344517;0.018291756;0.022062308;0.062769848;0.039305468;0.027015161;0.023716525;0.034998669;0.028991097;0.020881061;0.021797864;0.031141729;-5.47261;8.36302;3.46886;-2.84615
2S8;Visual field right;0.016728549;0.025805264;0.038666405;0.031307779;0.018354516;0.028376907;0.041450857;0.033415015;0.019042941;0.028497261;0.040564697;0.036377292;0.014768846;0.024553841;0.03646961;0.031414121;0.014503886;0.023452698;0.035068952;0.038094443;0.021614946;0.032198607;0.051662142;0.031954893;0.019802159;0.030604109;0.046723935;0.029558133;-1.35579;2.19358;-1.69562;1.22752
2S9;Visual field right;0.015309085;0.016920437;0.023925725;0.042834332;0.015232103;0.01852143;0.031271262;0.050223571;0.016241323;0.019982914;0.037065134;0.053141423;0.016419621;0.0176947;0.027035433;0.036878713;0.01380935;0.014619987;0.026401502;0.030213612;0.019154535;0.024292583;0.041728164;0.05638505;0.019885357;0.023400091;0.037283645;0.042501944;-3.68273;8.7018;-2.25167;-3.58076
2S10;Visual field right;0.009171848;0.013780682;0.05305056;0.019240917;0.009792222;0.015124935;0.059239924;0.021532138;0.010307402;0.016662566;0.054772524;0.022237256;0.008123347;0.013052231;0.062381656;0.01746502;0.008325048;0.014211833;0.074598218;0.018701061;0.015983635;0.02290506;0.088270505;0.025363572;0.013485764;0.019718482;0.117161713;0.024193455;5.58328;-4.24465;-5.31016;-5.25235
2S11;Visual field right;0.012857817;0.013150222;0.007407934;0.01702478;0.142588868;0.126210727;0.059424792;0.043826248;0.013709417;0.014668346;0.00797183;0.019474473;0.012004946;0.012573452;0.007106777;0.017018597;0.014759588;0.014839369;0.007917828;0.020505461;0.024577402;0.02003048;0.009343176;0.016205836;0.074841428;0.029736862;0.009772589;0.015639266;-7.31634;-4.35085;6.90583;0.269295
2S12;Visual field right;0.011412945;0.020377794;0.041644914;0.035388172;0.012811015;0.022329588;0.048350684;0.034021941;0.013000293;0.02321761;0.045090711;0.029728402;0.010483177;0.01852724;0.043541171;0.039198566;0.009327674;0.016220008;0.038751501;0.029161905;0.016998803;0.029160141;0.073637976;0.029834453;0.016080784;0.026755465;0.068480465;0.027749733;0.812971;1.75293;-4.23881;-1.82614
2S13;Visual field right;0.024119857;0.027190845;0.038965513;0.030808565;0.026204011;0.030168886;0.048590374;0.040293969;0.025704888;0.030533418;0.039319969;0.040495925;0.020323831;0.025444244;0.037642591;0.031181385;0.019085751;0.024047284;0.033425939;0.038156474;0.026953632;0.031262553;0.042956558;0.03528975;0.023639912;0.029252855;0.03832229;0.030265809;-1.60919;3.29077;1.28342;1.5138
