;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;alpha_1;beta_1;delta_1;theta_1
S1;Resting Open;0.039375551;0.028000717;0.028604762;0.028824706;0.03776664;0.028919547;0.032492722;0.027337684;0.041322865;0.028018715;0.025488729;0.025310324;0.036746881;0.031142254;0.030955445;0.029995325;0.039857243;0.028366428;0.029102216;0.026855129;0.0304824;0.023267811;0.023801654;0.022620638;0.034297537;0.024519685;0.024642021;0.025081387;-2.75777;-2.15259;7.39705;0.515596
S2;Resting Open;0.027672999;0.039141373;0.027051955;0.033638185;0.027466932;0.039361319;0.027174956;0.033743154;0.026486218;0.039365905;0.028669759;0.040343672;0.024496597;0.03955169;0.024759621;0.028916841;0.024288737;0.040457474;0.02502167;0.029390039;0.025007056;0.038689385;0.024776995;0.028708381;0.024850066;0.038589684;0.02286097;0.024431926;-3.33041;0.0138532;1.3862;8.24159
S3;Resting Open;0.042006803;0.02898567;0.020671536;0.034795741;0.037396195;0.027548765;0.021042314;0.037656538;0.041183965;0.027819765;0.019071472;0.036336918;0.039128835;0.02689324;0.022203445;0.035391457;0.041168392;0.032060661;0.024038124;0.044392791;0.038157267;0.025415146;0.018422953;0.030336552;0.034651801;0.023598399;0.020003014;0.031124212;-4.55734;1.97376;8.38705;0.482251
S7;Resting Open;0.026663581;0.053264925;0.020858661;0.025023305;0.028151045;0.054239567;0.023191238;0.029029422;0.028003324;0.05328809;0.023983855;0.030640372;0.025185905;0.051515584;0.020328555;0.0241442;0.027918236;0.050323118;0.01983655;0.0237695;0.024077549;0.047539524;0.020006474;0.023025399;0.025598939;0.048110195;0.017839363;0.020084207;-4.53011;-2.92018;1.78996;15.9463
S10;Resting Open;0.027874785;0.048430407;0.021319757;0.020665008;0.025593235;0.046578498;0.020847522;0.020342191;0.02469374;0.046425067;0.02131472;0.021161188;0.026960723;0.049677964;0.024417714;0.023178863;0.025252023;0.052052166;0.026688591;0.026246403;0.024778749;0.043789359;0.019856026;0.01887278;0.025477526;0.046251367;0.023621153;0.019082008;-4.15658;-4.687;1.41792;13.6116
S13;Resting Open;0.030459839;0.036119251;0.019219074;0.042448227;0.032162363;0.038530936;0.017890557;0.043666994;0.032844915;0.0389069;0.018988878;0.048162727;0.027531004;0.03513015;0.021651784;0.043044577;0.02609233;0.033292348;0.022717381;0.040993198;0.024789177;0.031278701;0.015562529;0.032640989;0.02608704;0.032488976;0.019406681;0.035573474;-4.91356;4.497;2.88047;5.50084
S14;Resting Open;0.033478598;0.024685112;0.037215539;0.019114037;0.032379024;0.024734613;0.038481132;0.021983681;0.036989078;0.025514186;0.044514159;0.039281828;0.035182056;0.026704156;0.038963519;0.023381829;0.031305899;0.026607139;0.043891324;0.024249479;0.038376826;0.040943157;0.044035091;0.022891155;0.030639357;0.024950206;0.040774129;0.019305213;0.264853;-3.39452;5.70558;0.676439
S16;Resting Open;0.037454051;0.033088186;0.018322643;0.024883682;0.038157791;0.032233137;0.019772006;0.028603846;0.03869799;0.032423234;0.017912621;0.02723344;0.038634558;0.034279176;0.017257354;0.02393521;0.04063454;0.034426702;0.015959125;0.026754804;0.05857732;0.029138274;0.015395141;0.019312684;0.039364982;0.031201141;0.016315845;0.018467281;-5.38477;-3.39045;9.6378;3.74182
S18;Resting Open;0.03251879;0.030917197;0.029994949;0.028012095;0.030746168;0.03050386;0.032653801;0.02773411;0.030255787;0.03403609;0.040162586;0.02891862;0.033188061;0.02982572;0.028862464;0.029982549;0.035291693;0.02928559;0.032674795;0.032302421;0.02563806;0.027600775;0.03799034;0.027057202;0.028797755;0.026145139;0.035788439;0.031828014;-1.49011;-0.87193;4.11678;1.9929
S19;Resting Open;0.019966287;0.028942374;0.044269597;0.023605113;0.019580107;0.029943417;0.048883174;0.025121986;0.019538974;0.035109308;0.054334103;0.033587706;0.019797546;0.030024018;0.041628013;0.021975437;0.023483648;0.035677026;0.051849701;0.026140933;0.018937901;0.031124473;0.060394347;0.02719597;0.022307459;0.033839212;0.040563741;0.022782471;2.1257;-2.62276;-1.36388;3.55626
