;0;1
S2;2.0543384456839373;1.0
S3;1.4817913268967646;1.0
S5;2.3452786164165986;0.8103603078188327
S6;-0.3458703058261715;0.7360471933222752
S7;2.461091972880801;0.7375022020841313
S10;2.363373605604471;0.9108069506539491
S11;2.349134462683123;0.8960146405915617
S13;2.2060222210788405;0.7323923072184726
S14;2.300355696193495;0.7448248157721401
S16;2.117929715656825;0.9747661145022128
S18;0.9319404873163847;1.0
S19;-0.497034204214466;0.7516772741377544
S20;-0.05251680076421572;1.0
S22;2.8798339363181285;0.895769012809317
S24;3.0348708116359537;1.0
