;0;1
S2;2.16356170323834;0.9681118307789139
S3;0.36294093449533993;0.9896322457529566
S5;2.4945559340119963;0.7196295864264305
S6;-0.6177234813284547;0.976712155966584
S7;0.24243516492889727;0.7922080095365942
S10;2.354968472190601;0.9717264884203468
S13;0.4813053460930188;0.8535882982025748
S14;0.8666107057571534;1.0
S15;1.981030768199943;1.0
S16;0.9422662926193646;1.0
S18;2.031947579627693;1.0
S19;2.396226754603871;0.9400397267074753
S20;2.5235969053785503;1.0
S21;1.8431113454125545;1.0
S22;1.7421487513573293;1.0
S23;1.6529180361454832;0.8172843606208701
S24;1.7311229620526427;1.0
