;0;1
S2;4.300996357668919;0.7954371783744623
S3;-2.0403778223603055;1.0
S5;6.4292795162368215;0.8515813840576288
S6;0.7517204723745682;1.0
S7;0.22324627963204868;1.0
S10;0.20166637368671378;1.0
S11;0.3892161040118355;1.0
S13;-0.08048747897316987;0.9877380212594122
S14;-0.35314338157052944;1.0
S15;5.629299212593117;1.0
S16;-0.3613407556740018;0.8445822578671319
S18;2.8682416238043276;0.7979405307597351
S19;-1.6850075124205128;0.9018883252261896
S20;-0.5301269187640604;0.738290423199659
S22;0.376003650168978;0.9416075906035277
S24;0.0018297637905207327;0.7299417083875053
