;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S2;Resting Open;1;0.139490446;0.138853503;0.126624204;0.159363057;0.169936306;0.136942675;0.147898089;1;0.95388535;0.638598726;0.640382166;0.526496815;0.761528662;0.492229299;1;0.646878981;0.635286624;0.522929936;0.764076433;0.489808917;1;0.46089172;0.381019108;0.60955414;0.358853503;1;0.778343949;0.638216561;0.661019108;1;0.52955414;0.650191083;1;0.531464968;1;21.6154;19.2392;12.4255;13.27
0;S3;Resting Open;1;0.177707006;0.149171975;0.144713376;0.176178344;0.160382166;0.133757962;0.163566879;1;0.547388535;0.473375796;0.594649682;0.389681529;0.481273885;0.518471338;1;0.488280255;0.433375796;0.293121019;0.474522293;0.400382166;1;0.356942675;0.245477707;0.417070064;0.334267516;1;0.442292994;0.409044586;0.562038217;1;0.260254777;0.40522293;1;0.43388535;1;3.75201;1.64172;1.47537;-0.0124732
0;S5;Resting Open;1;0.14343949;0.14433121;0.149426752;0.142929936;0.151210191;0.135286624;0.129171975;1;0.587388535;0.395159236;0.587898089;0.465987261;0.527388535;0.491719745;1;0.529044586;0.418980892;0.367643312;0.542929936;0.357452229;1;0.298089172;0.271974522;0.442675159;0.255796178;1;0.563566879;0.392101911;0.512229299;1;0.32955414;0.474394904;1;0.396815287;1;3.59442;3.76067;2.12862;1.10944
0;S6;Resting Open;1;0.110063694;0.101783439;0.090063694;0.119872611;0.124203822;0.09388535;0.112356688;1;0.517961783;0.314649682;0.467133758;0.230063694;0.347515924;0.377579618;1;0.393503185;0.380509554;0.202802548;0.397961783;0.317070064;1;0.252101911;0.152356688;0.326369427;0.222929936;1;0.297961783;0.287133758;0.402929936;1;0.197961783;0.426496815;1;0.332229299;1;-8.18134;-7.64463;-5.50613;-6.37172
0;S7;Resting Open;1;0.142547771;0.133757962;0.124458599;0.165732484;0.178471338;0.110700637;0.132101911;1;0.656050955;0.610955414;0.641910828;0.477834395;0.563566879;0.571464968;1;0.706242038;0.526624204;0.378343949;0.581019108;0.487643312;1;0.473757962;0.345477707;0.582675159;0.45566879;1;0.644840764;0.481528662;0.626369427;1;0.371974522;0.578343949;1;0.526624204;1;16.4859;11.7394;8.31735;8.46449
0;S10;Resting Open;1;0.129299363;0.120636943;0.115796178;0.130573248;0.138471338;0.113630573;0.121656051;1;0.734012739;0.592993631;0.659872611;0.487133758;0.647643312;0.641528662;1;0.768789809;0.497452229;0.376815287;0.771464968;0.498980892;1;0.40866242;0.318980892;0.692738854;0.400127389;1;0.676942675;0.45044586;0.767515924;1;0.336687898;0.607006369;1;0.466878981;1;15.9377;13.3499;12.218;11.1181
0;S13;Resting Open;1;0.183566879;0.163821656;0.145477707;0.183057325;0.193503185;0.144203822;0.170955414;1;0.641783439;0.514649682;0.623694268;0.449299363;0.503694268;0.567388535;1;0.683312102;0.486624204;0.362420382;0.56;0.464076433;1;0.398598726;0.31133758;0.518726115;0.381528662;1;0.597707006;0.445859873;0.702547771;1;0.362802548;0.593248408;1;0.502675159;1;12.2808;9.10289;7.29471;5.88006
0;S14;Resting Open;1;0.160127389;0.158216561;0.131082803;0.161146497;0.169426752;0.128917197;0.131719745;1;0.465732484;0.278598726;0.497197452;0.397452229;0.406624204;0.463949045;1;0.445732484;0.378089172;0.328152866;0.472738854;0.361146497;1;0.229171975;0.214522293;0.30955414;0.211592357;1;0.531210191;0.317579618;0.486369427;1;0.258598726;0.402675159;1;0.365350318;1;-3.39369;-2.50609;-1.8737;-4.34037
0;S15;Resting Open;1;0.137197452;0.128152866;0.129681529;0.145095541;0.141656051;0.110191083;0.107133758;1;0.639490446;0.48866242;0.647643312;0.398726115;0.495541401;0.407388535;1;0.638471338;0.435159236;0.280764331;0.475286624;0.287388535;1;0.33477707;0.229426752;0.47044586;0.246369427;1;0.592356688;0.371719745;0.466878981;1;0.253757962;0.408789809;1;0.407388535;1;1.8689;2.69469;-0.168992;1.76651
0;S16;Resting Open;1;0.124458599;0.113757962;0.118471338;0.137707006;0.149936306;0.114267516;0.122547771;1;0.581019108;0.505732484;0.574522293;0.402038217;0.462802548;0.464840764;1;0.63388535;0.473121019;0.338726115;0.477324841;0.393121019;1;0.447388535;0.343312102;0.454522293;0.36433121;1;0.539490446;0.411847134;0.506751592;1;0.334012739;0.442165605;1;0.41566879;1;7.73072;4.52142;1.73136;2.96332
0;S18;Resting Open;1;0.196942675;0.182802548;0.156050955;0.205859873;0.197579618;0.143566879;0.154904459;1;0.712993631;0.554649682;0.641528662;0.478343949;0.55388535;0.428407643;1;0.693757962;0.545859873;0.395414013;0.598980892;0.362038217;1;0.427388535;0.326624204;0.53044586;0.289171975;1;0.638598726;0.438089172;0.508152866;1;0.328280255;0.506624204;1;0.391464968;1;9.52754;8.7461;3.96443;6.36382
