;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S3;Resting open;1;0.165987261;0.139617834;0.14955414;0.148917197;0.152611465;0.130191083;0.140764331;1;0.568535032;0.467898089;0.617707006;0.385350318;0.477324841;0.542675159;1;0.524076433;0.435414013;0.278343949;0.455286624;0.391847134;1;0.35910828;0.241783439;0.397961783;0.329171975;1;0.471847134;0.408917197;0.621273885;1;0.282675159;0.432993631;1;0.421146497;1;3.00176;2.74711;0.381046;0.823401
0;S6;Resting open;1;0.142420382;0.136942675;0.112866242;0.160636943;0.156815287;0.119363057;0.150828025;1;0.581656051;0.412101911;0.50343949;0.393757962;0.444458599;0.496815287;1;0.471974522;0.431847134;0.344458599;0.499363057;0.432101911;1;0.308407643;0.258471338;0.454012739;0.316178344;1;0.548025478;0.349681529;0.552229299;1;0.29388535;0.517324841;1;0.398598726;1;2.23893;2.93162;0.0228805;0.321184
0;S7;Resting open;1;0.125605096;0.107770701;0.1;0.135796178;0.141910828;0.097070064;0.106242038;1;0.60611465;0.591210191;0.628917197;0.460127389;0.588917197;0.497707006;1;0.650700637;0.479490446;0.364713376;0.571974522;0.424968153;1;0.448917197;0.327261146;0.582547771;0.382929936;1;0.597452229;0.482420382;0.553248408;1;0.37566879;0.507006369;1;0.478980892;1;12.5806;7.31873;7.9149;6.1395
0;S10;Resting open;1;0.143057325;0.143694268;0.142929936;0.139490446;0.141019108;0.131847134;0.131847134;1;0.737070064;0.577324841;0.669808917;0.497452229;0.572356688;0.64343949;1;0.754649682;0.506496815;0.383949045;0.650191083;0.496942675;1;0.401146497;0.312738854;0.577452229;0.388025478;1;0.696178344;0.416305732;0.781019108;1;0.314394904;0.627388535;1;0.419617834;1;14.1674;12.1656;10.8478;9.4174
0;S11;Resting open;1;0.176687898;0.160509554;0.159617834;0.177961783;0.180509554;0.141528662;0.149171975;1;0.718089172;0.561910828;0.752611465;0.413121019;0.545732484;0.550700637;1;0.682038217;0.577579618;0.334267516;0.608535032;0.477070064;1;0.458980892;0.291082803;0.582547771;0.392101911;1;0.488152866;0.482929936;0.597834395;1;0.292101911;0.396178344;1;0.492356688;1;12.3616;7.3043;8.64668;6.58415
0;S14;Resting open;1;0.169171975;0.163821656;0.125350318;0.177707006;0.182675159;0.137707006;0.156050955;1;0.457834395;0.267006369;0.473375796;0.36;0.392866242;0.406751592;1;0.440127389;0.378598726;0.293375796;0.489299363;0.324076433;1;0.21388535;0.172101911;0.320254777;0.186878981;1;0.465095541;0.347770701;0.478726115;1;0.273757962;0.418343949;1;0.351974522;1;-7.10574;-3.04915;-5.96436;-4.35217
0;S15;Resting open;1;0.152101911;0.141019108;0.134394904;0.17133758;0.188280255;0.125987261;0.13044586;1;0.7;0.563184713;0.684203822;0.440509554;0.572611465;0.477452229;1;0.685095541;0.493375796;0.334522293;0.550573248;0.355541401;1;0.408535032;0.287515924;0.542292994;0.314522293;1;0.619363057;0.45566879;0.561656051;1;0.31133758;0.465350318;1;0.478980892;1;9.37778;5.61377;6.76904;6.17566
0;S16;Resting open;1;0.111210191;0.101528662;0.098726115;0.118726115;0.134267516;0.103821656;0.108535032;1;0.591082803;0.514394904;0.552866242;0.378089172;0.484713376;0.401019108;1;0.573375796;0.452993631;0.305859873;0.504203822;0.355923567;1;0.421656051;0.296050955;0.44955414;0.315286624;1;0.538853503;0.421528662;0.463312102;1;0.290318471;0.38343949;1;0.371082803;1;3.54514;0.575633;1.23506;1.40521
0;S18;Resting open;1;0.196942675;0.180764331;0.167261146;0.201019108;0.203312102;0.136942675;0.139745223;1;0.702420382;0.562547771;0.634012739;0.463057325;0.530063694;0.426751592;1;0.686878981;0.536178344;0.390828025;0.573121019;0.365987261;1;0.439363057;0.330700637;0.537197452;0.302292994;1;0.608407643;0.416815287;0.478471338;1;0.322420382;0.469681529;1;0.389044586;1;9.16994;4.55274;5.99302;6.06809
0;S21;Resting open;1;0.145859873;0.133630573;0.125477707;0.165350318;0.168917197;0.114140127;0.139235669;1;0.532356688;0.498726115;0.584458599;0.4;0.465987261;0.46343949;1;0.601910828;0.461656051;0.343312102;0.467133758;0.389299363;1;0.414649682;0.292866242;0.460254777;0.348025478;1;0.486242038;0.407515924;0.513121019;1;0.317834395;0.426242038;1;0.457961783;1;5.7264;2.38329;1.70536;1.81712
